FDR,TPR,FPR,SHD,nnz,Precision,Recall,F-score,Method,RuntimeSeconds
0.0,0.0,0.0,43,0,0.0,0.0,0.0,ANM-GPR-Kernel,2.8617122499272227
0.0,0.0,0.0,43,0,0.0,0.0,0.0,ANM-GPR,1.5546988749410957
0.8524590163934426,0.3333333333333333,0.244131455399061,86,61,0.1475409836065573,0.3333333333333333,0.2045454545454545,DAG-GNN,32.78252312494442
0.7333333333333333,0.1481481481481481,0.0516431924882629,50,15,0.2666666666666666,0.1481481481481481,0.1904761904761904,Direct-LiNGAM,0.339845750015229
0.6666666666666666,0.037037037037037,0.0093896713615023,44,3,0.3333333333333333,0.037037037037037,0.0666666666666666,GAE,252.96083650004584
0.8,0.074074074074074,0.0375586854460093,49,10,0.2,0.074074074074074,0.1081081081081081,GOLEM,57.96870337496512
0.7619047619047619,0.1851851851851851,0.0751173708920187,54,21,0.238095238095238,0.1851851851851851,0.2083333333333333,GraNDAG,45.594585000071675
0.7777777777777778,0.1481481481481481,0.0657276995305164,53,18,0.2222222222222222,0.1481481481481481,0.1777777777777777,ICA-LiNGAM,0.1561785829253494
0.8888888888888888,0.1111111111111111,0.1126760563380281,64,27,0.1111111111111111,0.1111111111111111,0.1111111111111111,MCSL,301.135352209094
0.7692307692307693,0.1111111111111111,0.0469483568075117,50,13,0.2307692307692307,0.1111111111111111,0.15,Notear-Linear,3.091097291908227
0.8064516129032258,0.2222222222222222,0.1173708920187793,62,31,0.1935483870967742,0.2222222222222222,0.2068965517241379,Notear-Lowrank,32.998651499976404
0.8076923076923077,0.1851851851851851,0.0985915492957746,59,26,0.1923076923076923,0.1851851851851851,0.1886792452830188,Notear-NonLinear,191.95450799993705
